,model,dice coefficient,jaccard index
0,binary/BCEnoPOS_best,0.6487987637519836,0.4806741277376811
1,binary/BCEnoPOS_last,0.6487987637519836,0.4806741277376811
2,binary/BCECalcPOS_best,0.6263352632522583,0.456577201684316
3,binary/BCECalcPOS_last,0.5212941666444143,0.3531225124994914
4,binary/BCE4POS_best,0.7332796653111776,0.5796318451563517
5,binary/BCE4POS_last,0.7344574332237244,0.581826388835907
6,binary/DiceLoss_best,0.7880173921585083,0.651011327902476
7,binary/DiceLoss_last,0.7880173921585083,0.651011327902476
8,binary/FocalLoss_best,0.6245579123497009,0.45456207791964215
9,binary/FocalLoss_last,0.6593294739723206,0.49235788981119794
10,binary/TverskyLossBase_best,0.7925381064414978,0.6571381290753683
11,binary/TverskyLossBase_last,0.7925381064414978,0.6571381290753683
12,binary/TverskyLoss25_best,0.7116851806640625,0.5537599325180054
13,binary/TverskyLoss25_last,0.7013135353724161,0.5408463478088379
14,binary/TverskyLoss75_best,0.778688112894694,0.6385701298713684
15,binary/TverskyLoss75_last,0.7810880144437155,0.6414349476496378
16,binary/FocalTverskyLoss_best,0.7394757866859436,0.5871253609657288
17,binary/FocalTverskyLoss_last,0.7654731671015421,0.6209523479143778
18,binary/LogCoshDice_best,0.7115510900815328,0.553414007027944
19,binary/LogCoshDice_last,0.7111024061838785,0.5530398587385813
