Model 1,Model 2,Recall
DenseNet_0_2_clahe,maxvit_0_2_clahe,0.6412985630654604
DenseNet_0_2_clahe,maxvit_1_2_clahe,0.6343799893560405
DenseNet_0_2_clahe,maxvit_0_8_clahe,0.6535391165513571
DenseNet_0_2_clahe,maxvit_1_8_clahe,0.6498137307078233
DenseNet_0_2_clahe,maxvit_0_16_clahe,0.6657796700372539
DenseNet_0_2_clahe,maxvit_1_16_clahe,0.658861096327834
DenseNet_0_2_clahe,maxvit_0_32_clahe,0.6726982437466738
DenseNet_0_2_clahe,maxvit_1_32_clahe,0.6753592336349122
DenseNet_1_2_clahe,maxvit_0_2_clahe,0.6471527408195848
DenseNet_1_2_clahe,maxvit_1_2_clahe,0.6466205428419372
DenseNet_1_2_clahe,maxvit_0_8_clahe,0.66205428419372
DenseNet_1_2_clahe,maxvit_1_8_clahe,0.6615220862160723
DenseNet_1_2_clahe,maxvit_0_16_clahe,0.6700372538584354
DenseNet_1_2_clahe,maxvit_1_16_clahe,0.6625864821713677
DenseNet_1_2_clahe,maxvit_0_32_clahe,0.6769558275678552
DenseNet_1_2_clahe,maxvit_1_32_clahe,0.6796168174560937
DenseNet_0_8_clahe,maxvit_0_2_clahe,0.66897285790314
DenseNet_0_8_clahe,maxvit_1_2_clahe,0.6679084619478446
DenseNet_0_8_clahe,maxvit_0_8_clahe,0.6695050558807877
DenseNet_0_8_clahe,maxvit_1_8_clahe,0.6695050558807877
DenseNet_0_8_clahe,maxvit_0_16_clahe,0.6716338477913784
DenseNet_0_8_clahe,maxvit_1_16_clahe,0.6716338477913784
DenseNet_0_8_clahe,maxvit_0_32_clahe,0.6801490154337414
DenseNet_0_8_clahe,maxvit_1_32_clahe,0.6870675891431612
DenseNet_1_8_clahe,maxvit_0_2_clahe,0.6780202235231506
DenseNet_1_8_clahe,maxvit_1_2_clahe,0.6716338477913784
DenseNet_1_8_clahe,maxvit_0_8_clahe,0.6748270356572645
DenseNet_1_8_clahe,maxvit_1_8_clahe,0.6726982437466738
DenseNet_1_8_clahe,maxvit_0_16_clahe,0.6758914316125598
DenseNet_1_8_clahe,maxvit_1_16_clahe,0.6695050558807877
DenseNet_1_8_clahe,maxvit_0_32_clahe,0.6833422032996275
DenseNet_1_8_clahe,maxvit_1_32_clahe,0.6812134113890367
DenseNet_0_16_clahe,maxvit_0_2_clahe,0.6572645023948909
DenseNet_0_16_clahe,maxvit_1_2_clahe,0.651942522618414
DenseNet_0_16_clahe,maxvit_0_8_clahe,0.6615220862160723
DenseNet_0_16_clahe,maxvit_1_8_clahe,0.6583288983501863
DenseNet_0_16_clahe,maxvit_0_16_clahe,0.66205428419372
DenseNet_0_16_clahe,maxvit_1_16_clahe,0.6641830761043108
DenseNet_0_16_clahe,maxvit_0_32_clahe,0.6684406599254923
DenseNet_0_16_clahe,maxvit_1_32_clahe,0.6817456093666844
DenseNet_1_16_clahe,maxvit_0_2_clahe,0.6764236295902075
DenseNet_1_16_clahe,maxvit_1_2_clahe,0.6774880255455029
DenseNet_1_16_clahe,maxvit_0_8_clahe,0.6796168174560937
DenseNet_1_16_clahe,maxvit_1_8_clahe,0.6732304417243214
DenseNet_1_16_clahe,maxvit_0_16_clahe,0.6801490154337414
DenseNet_1_16_clahe,maxvit_1_16_clahe,0.6769558275678552
DenseNet_1_16_clahe,maxvit_0_32_clahe,0.6711016498137307
DenseNet_1_16_clahe,maxvit_1_32_clahe,0.6833422032996275
DenseNet_0_32_clahe,maxvit_0_2_clahe,0.6647152740819585
DenseNet_0_32_clahe,maxvit_1_2_clahe,0.66205428419372
DenseNet_0_32_clahe,maxvit_0_8_clahe,0.6684406599254923
DenseNet_0_32_clahe,maxvit_1_8_clahe,0.6700372538584354
DenseNet_0_32_clahe,maxvit_0_16_clahe,0.672166045769026
DenseNet_0_32_clahe,maxvit_1_16_clahe,0.672166045769026
DenseNet_0_32_clahe,maxvit_0_32_clahe,0.6668440659925492
DenseNet_0_32_clahe,maxvit_1_32_clahe,0.6833422032996275
DenseNet_1_32_clahe,maxvit_0_2_clahe,0.6684406599254923
DenseNet_1_32_clahe,maxvit_1_2_clahe,0.6684406599254923
DenseNet_1_32_clahe,maxvit_0_8_clahe,0.6737626397019691
DenseNet_1_32_clahe,maxvit_1_8_clahe,0.6758914316125598
DenseNet_1_32_clahe,maxvit_0_16_clahe,0.6711016498137307
DenseNet_1_32_clahe,maxvit_1_16_clahe,0.6711016498137307
DenseNet_1_32_clahe,maxvit_0_32_clahe,0.6801490154337414
DenseNet_1_32_clahe,maxvit_1_32_clahe,0.6854709952102181
