Model 1,Model 2,Recall
DenseNet_0_2_clahe,maxvit_0_2_clahe,0.6631186801490154
DenseNet_0_2_clahe,maxvit_1_2_clahe,0.6796168174560937
DenseNet_0_2_clahe,maxvit_0_8_clahe,0.7035657264502395
DenseNet_0_2_clahe,maxvit_1_8_clahe,0.7189994678020224
DenseNet_0_2_clahe,maxvit_0_16_clahe,0.7062267163384779
DenseNet_0_2_clahe,maxvit_1_16_clahe,0.7099521021820117
DenseNet_0_2_clahe,maxvit_0_32_clahe,0.7168706758914316
DenseNet_0_2_clahe,maxvit_1_32_clahe,0.7323044172432145
DenseNet_1_2_clahe,maxvit_0_2_clahe,0.6726982437466738
DenseNet_1_2_clahe,maxvit_1_2_clahe,0.6833422032996275
DenseNet_1_2_clahe,maxvit_0_8_clahe,0.7040979244278872
DenseNet_1_2_clahe,maxvit_1_8_clahe,0.71953166577967
DenseNet_1_2_clahe,maxvit_0_16_clahe,0.7040979244278872
DenseNet_1_2_clahe,maxvit_1_16_clahe,0.7136774880255455
DenseNet_1_2_clahe,maxvit_0_32_clahe,0.7200638637573177
DenseNet_1_2_clahe,maxvit_1_32_clahe,0.7312400212879191
DenseNet_0_8_clahe,maxvit_0_2_clahe,0.6881319850984566
DenseNet_0_8_clahe,maxvit_1_2_clahe,0.6966471527408196
DenseNet_0_8_clahe,maxvit_0_8_clahe,0.7046301224055349
DenseNet_0_8_clahe,maxvit_1_8_clahe,0.7152740819584885
DenseNet_0_8_clahe,maxvit_0_16_clahe,0.7051623203831825
DenseNet_0_8_clahe,maxvit_1_16_clahe,0.7174028738690793
DenseNet_0_8_clahe,maxvit_0_32_clahe,0.7237892496008516
DenseNet_0_8_clahe,maxvit_1_32_clahe,0.728046833422033
DenseNet_1_8_clahe,maxvit_0_2_clahe,0.7051623203831825
DenseNet_1_8_clahe,maxvit_1_2_clahe,0.7083555082490687
DenseNet_1_8_clahe,maxvit_0_8_clahe,0.7221926556679085
DenseNet_1_8_clahe,maxvit_1_8_clahe,0.7275146354443853
DenseNet_1_8_clahe,maxvit_0_16_clahe,0.7248536455561468
DenseNet_1_8_clahe,maxvit_1_16_clahe,0.7259180415114422
DenseNet_1_8_clahe,maxvit_0_32_clahe,0.729643427354976
DenseNet_1_8_clahe,maxvit_1_32_clahe,0.7328366152208622
DenseNet_0_16_clahe,maxvit_0_2_clahe,0.7046301224055349
DenseNet_0_16_clahe,maxvit_1_2_clahe,0.707823310271421
DenseNet_0_16_clahe,maxvit_0_8_clahe,0.7099521021820117
DenseNet_0_16_clahe,maxvit_1_8_clahe,0.7216604576902608
DenseNet_0_16_clahe,maxvit_0_16_clahe,0.7126130920702501
DenseNet_0_16_clahe,maxvit_1_16_clahe,0.7200638637573177
DenseNet_0_16_clahe,maxvit_0_32_clahe,0.7174028738690793
DenseNet_0_16_clahe,maxvit_1_32_clahe,0.7269824374667376
DenseNet_1_16_clahe,maxvit_0_2_clahe,0.7083555082490687
DenseNet_1_16_clahe,maxvit_1_2_clahe,0.7094199042043641
DenseNet_1_16_clahe,maxvit_0_8_clahe,0.7216604576902608
DenseNet_1_16_clahe,maxvit_1_8_clahe,0.7264502394890899
DenseNet_1_16_clahe,maxvit_0_16_clahe,0.7227248536455562
DenseNet_1_16_clahe,maxvit_1_16_clahe,0.7253858435337945
DenseNet_1_16_clahe,maxvit_0_32_clahe,0.7259180415114422
DenseNet_1_16_clahe,maxvit_1_32_clahe,0.7354976051091006
DenseNet_0_32_clahe,maxvit_0_2_clahe,0.707823310271421
DenseNet_0_32_clahe,maxvit_1_2_clahe,0.7147418839808408
DenseNet_0_32_clahe,maxvit_0_8_clahe,0.711016498137307
DenseNet_0_32_clahe,maxvit_1_8_clahe,0.7200638637573177
DenseNet_0_32_clahe,maxvit_0_16_clahe,0.7120808940926024
DenseNet_0_32_clahe,maxvit_1_16_clahe,0.7174028738690793
DenseNet_0_32_clahe,maxvit_0_32_clahe,0.717935071846727
DenseNet_0_32_clahe,maxvit_1_32_clahe,0.7360298030867483
DenseNet_1_32_clahe,maxvit_0_2_clahe,0.7126130920702501
DenseNet_1_32_clahe,maxvit_1_2_clahe,0.7088877062267164
DenseNet_1_32_clahe,maxvit_0_8_clahe,0.7243214475784993
DenseNet_1_32_clahe,maxvit_1_8_clahe,0.7248536455561468
DenseNet_1_32_clahe,maxvit_0_16_clahe,0.7232570516232039
DenseNet_1_32_clahe,maxvit_1_16_clahe,0.7248536455561468
DenseNet_1_32_clahe,maxvit_0_32_clahe,0.7323044172432145
DenseNet_1_32_clahe,maxvit_1_32_clahe,0.7339010111761576
