Model1,Model2,Recall
DenseNet_unetb_0_2_weighted,MaxVit_unetb_0_2_weighted,0.66311868
DenseNet_unetb_0_2_weighted,MaxVit_unetb_1_2_weighted,0.679616817
DenseNet_unetb_0_2_weighted,MaxVit_unetb_0_8_weighted,0.703565726
DenseNet_unetb_0_2_weighted,MaxVit_unetb_1_8_weighted,0.718999468
DenseNet_unetb_0_2_weighted,MaxVit_unetb_0_16_weighted,0.706226716
DenseNet_unetb_0_2_weighted,MaxVit_unetb_1_16_weighted,0.709952102
DenseNet_unetb_0_2_weighted,MaxVit_unetb_0_32_weighted,0.716870676
DenseNet_unetb_0_2_weighted,MaxVit_unetb_1_32_weighted,0.732304417
DenseNet_unetb_1_2_weighted,MaxVit_unetb_0_2_weighted,0.672698244
DenseNet_unetb_1_2_weighted,MaxVit_unetb_1_2_weighted,0.683342203
DenseNet_unetb_1_2_weighted,MaxVit_unetb_0_8_weighted,0.704097924
DenseNet_unetb_1_2_weighted,MaxVit_unetb_1_8_weighted,0.719531666
DenseNet_unetb_1_2_weighted,MaxVit_unetb_0_16_weighted,0.704097924
DenseNet_unetb_1_2_weighted,MaxVit_unetb_1_16_weighted,0.713677488
DenseNet_unetb_1_2_weighted,MaxVit_unetb_0_32_weighted,0.720063864
DenseNet_unetb_1_2_weighted,MaxVit_unetb_1_32_weighted,0.731240021
DenseNet_unetb_0_8_weighted,MaxVit_unetb_0_2_weighted,0.688131985
DenseNet_unetb_0_8_weighted,MaxVit_unetb_1_2_weighted,0.696647153
DenseNet_unetb_0_8_weighted,MaxVit_unetb_0_8_weighted,0.704630122
DenseNet_unetb_0_8_weighted,MaxVit_unetb_1_8_weighted,0.715274082
DenseNet_unetb_0_8_weighted,MaxVit_unetb_0_16_weighted,0.70516232
DenseNet_unetb_0_8_weighted,MaxVit_unetb_1_16_weighted,0.717402874
DenseNet_unetb_0_8_weighted,MaxVit_unetb_0_32_weighted,0.72378925
DenseNet_unetb_0_8_weighted,MaxVit_unetb_1_32_weighted,0.728046833
DenseNet_unetb_1_8_weighted,MaxVit_unetb_0_2_weighted,0.70516232
DenseNet_unetb_1_8_weighted,MaxVit_unetb_1_2_weighted,0.708355508
DenseNet_unetb_1_8_weighted,MaxVit_unetb_0_8_weighted,0.722192656
DenseNet_unetb_1_8_weighted,MaxVit_unetb_1_8_weighted,0.727514635
DenseNet_unetb_1_8_weighted,MaxVit_unetb_0_16_weighted,0.724853646
DenseNet_unetb_1_8_weighted,MaxVit_unetb_1_16_weighted,0.725918042
DenseNet_unetb_1_8_weighted,MaxVit_unetb_0_32_weighted,0.729643427
DenseNet_unetb_1_8_weighted,MaxVit_unetb_1_32_weighted,0.732836615
DenseNet_unetb_0_16_weighted,MaxVit_unetb_0_2_weighted,0.704630122
DenseNet_unetb_0_16_weighted,MaxVit_unetb_1_2_weighted,0.70782331
DenseNet_unetb_0_16_weighted,MaxVit_unetb_0_8_weighted,0.709952102
DenseNet_unetb_0_16_weighted,MaxVit_unetb_1_8_weighted,0.721660458
DenseNet_unetb_0_16_weighted,MaxVit_unetb_0_16_weighted,0.712613092
DenseNet_unetb_0_16_weighted,MaxVit_unetb_1_16_weighted,0.720063864
DenseNet_unetb_0_16_weighted,MaxVit_unetb_0_32_weighted,0.717402874
DenseNet_unetb_0_16_weighted,MaxVit_unetb_1_32_weighted,0.726982437
DenseNet_unetb_1_16_weighted,MaxVit_unetb_0_2_weighted,0.708355508
DenseNet_unetb_1_16_weighted,MaxVit_unetb_1_2_weighted,0.709419904
DenseNet_unetb_1_16_weighted,MaxVit_unetb_0_8_weighted,0.721660458
DenseNet_unetb_1_16_weighted,MaxVit_unetb_1_8_weighted,0.726450239
DenseNet_unetb_1_16_weighted,MaxVit_unetb_0_16_weighted,0.722724854
DenseNet_unetb_1_16_weighted,MaxVit_unetb_1_16_weighted,0.725385844
DenseNet_unetb_1_16_weighted,MaxVit_unetb_0_32_weighted,0.725918042
DenseNet_unetb_1_16_weighted,MaxVit_unetb_1_32_weighted,0.735497605
DenseNet_unetb_0_32_weighted,MaxVit_unetb_0_2_weighted,0.70782331
DenseNet_unetb_0_32_weighted,MaxVit_unetb_1_2_weighted,0.714741884
DenseNet_unetb_0_32_weighted,MaxVit_unetb_0_8_weighted,0.711016498
DenseNet_unetb_0_32_weighted,MaxVit_unetb_1_8_weighted,0.720063864
DenseNet_unetb_0_32_weighted,MaxVit_unetb_0_16_weighted,0.712080894
DenseNet_unetb_0_32_weighted,MaxVit_unetb_1_16_weighted,0.717402874
DenseNet_unetb_0_32_weighted,MaxVit_unetb_0_32_weighted,0.717935072
DenseNet_unetb_0_32_weighted,MaxVit_unetb_1_32_weighted,0.736029803
DenseNet_unetb_1_32_weighted,MaxVit_unetb_0_2_weighted,0.712613092
DenseNet_unetb_1_32_weighted,MaxVit_unetb_1_2_weighted,0.708887706
DenseNet_unetb_1_32_weighted,MaxVit_unetb_0_8_weighted,0.724321448
DenseNet_unetb_1_32_weighted,MaxVit_unetb_1_8_weighted,0.724853646
DenseNet_unetb_1_32_weighted,MaxVit_unetb_0_16_weighted,0.723257052
DenseNet_unetb_1_32_weighted,MaxVit_unetb_1_16_weighted,0.724853646
DenseNet_unetb_1_32_weighted,MaxVit_unetb_0_32_weighted,0.732304417
DenseNet_unetb_1_32_weighted,MaxVit_unetb_1_32_weighted,0.733901011
